marka,seri,model,yil,yakit tipi,vites tipi,motor hacmi,motor gucu,kilometre,boya-degisen,takasa uygun,kimden,fiyat
nissan,sunny,1.6 ex,1995,lpg & benzin,otomatik,1401 - 1600 cm3,101 - 125 hp,358.800 km,tamami boyali,takasa uygun,sahibinden,45.000 TL
nissan,primera,1.6 tekna plus,2006,lpg & benzin,duz,,,303.000 km,belirtilmemis,takasa uygun,sahibinden,79.000 TL
nissan,primera,1.6 tekna,2007,lpg & benzin,duz,1596 cc,109 hp,317.000 km,belirtilmemis,takasa uygun degil,sahibinden,79.900 TL
nissan,micra,1.2 street,2015,benzin,otomatik,1198 cc,80 hp,49.000 km,belirtilmemis,takasa uygun,galeriden,157.900 TL
nissan,micra,1.2 street,2014,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,72.000 km,belirtilmemis,takasa uygun,galeriden,136.900 TL
nissan,almera,1.6 gx,2001,lpg & benzin,otomatik,,,138.500 km,belirtilmemis,takasa uygun degil,sahibinden,89.000 TL
nissan,almera,1.5 luxury,2001,benzin,duz,1497 cc,90 hp,206.000 km,"1 degisen, 2 boyali",takasa uygun degil,sahibinden,73.900 TL
nissan,micra,1.2 tekna,2009,benzin,otomatik,1240 cc,80 hp,100.000 km,belirtilmemis,takasa uygun degil,galeriden,119.000 TL
nissan,micra,1.2 passion,2006,lpg & benzin,duz,1240 cc,80 hp,177.000 km,belirtilmemis,takasa uygun,galeriden,89.900 TL
nissan,micra,1.2 punch,2012,benzin,duz,1198 cc,80 hp,124.700 km,belirtilmemis,takasa uygun,galeriden,117.900 TL
nissan,primera,1.6 gx,1998,lpg & benzin,duz,1401 - 1600 cm3,76 - 100 hp,268.000 km,belirtilmemis,takasa uygun,galeriden,67.750 TL
nissan,primera,1.6 tekna,2004,lpg & benzin,duz,1596 cc,109 hp,251.000 km,"2 degisen, 4 boyali",takasa uygun degil,sahibinden,69.000 TL
nissan,primera,1.6 tekna,2005,lpg & benzin,duz,1596 cc,109 hp,238.900 km,"2 degisen, 4 boyali",takasa uygun,galeriden,80.000 TL
nissan,note,1.4 visia,2009,benzin,duz,1201 - 1400 cm3,76 - 100 hp,224.000 km,belirtilmemis,takasa uygun,galeriden,82.000 TL
nissan,primera,1.6 slx,1997,lpg & benzin,duz,1597 cc,100 hp,330.000 km,belirtilmemis,takasa uygun,galeriden,57.500 TL
nissan,almera,1.5 tekna,2006,lpg & benzin,duz,1498 cc,98 hp,268.000 km,3 boyali,takasa uygun degil,sahibinden,80.500 TL
nissan,note,1.5 dci tekna,2011,dizel,duz,1461 cc,103 hp,192.000 km,"1 degisen, 2 boyali",takasa uygun degil,sahibinden,117.000 TL
nissan,primera,1.6 slx,1998,lpg & benzin,duz,1597 cc,100 hp,405.000 km,tamami boyali,takasa uygun,galeriden,52.000 TL
nissan,micra,1.2 passion,2012,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,110.600 km,belirtilmemis,takasa uygun degil,galeriden,130.900 TL
nissan,micra,1.2 tekna,2008,benzin,otomatik,1201 - 1400 cm3,76 - 100 hp,190.000 km,belirtilmemis,takasa uygun,galeriden,115.750 TL
nissan,primera,1.6 visia,2003,lpg & benzin,duz,1401 - 1600 cm3,101 - 125 hp,162.000 km,belirtilmemis,takasa uygun,galeriden,85.000 TL
nissan,micra,1.2 passion,2011,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,120.000 km,"1 degisen, 3 boyali",takasa uygun degil,galeriden,140.000 TL
nissan,primera,1.6 gx,1998,lpg & benzin,duz,1597 cc,100 hp,242.000 km,2 degisen,takasa uygun degil,sahibinden,58.000 TL
nissan,note,1.5 dci tekna,2011,dizel,duz,1461 cc,103 hp,118.000 km,belirtilmemis,takasa uygun degil,sahibinden,128.000 TL
nissan,primera,1.6 special edition,1999,lpg & benzin,duz,1597 cc,100 hp,287.000 km,belirtilmemis,takasa uygun degil,sahibinden,62.000 TL
